"Loader ""%s"" argument ""%s"" not provided.","Loader ""%s"" argument ""%s"" not provided."
"General","General"
"General Information","General Information"
"Same As For All Stores","Same As For All Stores"
"Your changes are successfully saved.","Your changes are successfully saved."
"Please fill in %s field","Please fill in %s field"
"%s is not a number","%s is not a number"
"%s is not non-negative number","%s is not non-negative number"
"%s is not positive number","%s is not positive number"
"Please select at least one grid row first.","Please select at least one grid row first."
"Same For All Stores","Same For All Stores"
"Hide this message","Hide this message"
"WYSIWYG Editor","WYSIWYG Editor"
"Please choose at least one option in %s field","Please choose at least one option in %s field"
"Please specify at least one value in %s","Please specify at least one value in %s"
"%s is not in list of %s in %s","%s is not in list of %s in %s"
"Rule `:rule` failed in field :field.","Rule `:rule` failed in field :field."
"Please fill in :field field.","Please fill in :field field."
"A record with `:value` :field already exists.","A record with `:value` :field already exists."
"Field :field should only contain numbers.","Field :field should only contain numbers."
"",""
"",""
"",""
"",""
