"CMS Books (MANAdev)","CMS Books (MANAdev)"
"Recalculates book and feed page global and store-level settings","Recalculates book and feed page global and store-level settings"
"CMS Books","CMS Books"
"Create Book","Create Book"
"%s - Book","%s - Book"
"New Book","New Book"
"This page no longer exists.","This page no longer exists."
"Non existent pages can not be customized on store level.","Non existent pages can not be customized on store level."
"SEO","SEO"
"General","General"
"Design","Design"
"Content","Content"
"Save all modified pages", "Save all modified pages"
"Save each page when opening another page for editing","Save each page when opening another page for editing"
"Save after editing any field","Save after editing any field"
"Editing","Editing"
"Save Mode","Save Mode"
"Content Management","Content Management"
"Choose how often book page should be saved in Admin Panel","Choose how often book page should be saved in Admin Panel"
"Delete Whole Page","Delete Whole Page"
"Are you sure you want to delete this page and all its child pages?","Are you sure you want to delete this page and all its child pages?"
"Are you sure you want to delete the whole book? You will be redirected to page list immediately.","Are you sure you want to delete the whole book? You will be redirected to page list immediately."
"Content Management","Content Management"
"Canonical Link Meta Tag on CMS Book Page","Canonical Link Meta Tag on CMS Book Page"
"%s (Reference) - Book","%s (Reference) - Book"
"",""
"",""
