"Geo Location","Geo Location"
"Configure Mana Extensions","Configure Mana Extensions"
"Update IP Database","Update IP Database"
"Find Country By IP","Find Country By IP"
"Import IPv4 addresses","Import IPv4 addresses"
"Import IPv6 addresses","Import IPv6 addresses"
"Import","Import"
"IP Addresses successfully imported.","IP Addresses successfully imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Too many downloads. Try again later.","Too many downloads. Try again later."
"Country Search","Country Search"
"Enter IP or Email and Search the Country","Enter IP or Email and Search the Country"
"Country of %s is %s","Country of %s is %s"
"Country of %s not found","Country of %s not found"
"Invalid search attempt","Invalid search attempt"
"Domains successfully imported.","Domains successfully imported."
"Server error","Server error"
