"Infinite Scrolling","Infinite Scrolling"
"No. of Pages loaded before the "Show More..." button appears.","No. of Pages loaded before the "Show More..." button appears."
"Sets the page number interval when the "Show More..." button will appear","Sets the page number interval when the "Show More..." button will appear"
"Recover product list upon pressing the back button.","Recover product list upon pressing the back button."
"Reloads the product list so the store customer does not have to scroll down to where he/she was before","Reloads the product list so the store customer does not have to scroll down to where he/she was before"
"Loading, please wait ...","Loading, please wait ..."
"Show More...","Show More..."
"",""
"",""
"",""
