"Tree (MANAdev)","Tree (MANAdev)"
"Tree of categorized links","Tree of categorized links"
"Category Tree (MANAdev)","Category Tree (MANAdev)"
"Tree of all store categories","Tree of all store categories"
"XML","XML"
"Title","Title"
"Expand All Tree Items on Initial Page Load","Expand All Tree Items on Initial Page Load"
"Tree remembers collapsed/expanded state of each item, so on subsequent page loads remembered collapsed/expanded state is restored and only not touched items are processed as specified here","Tree remembers collapsed/expanded state of each item, so on subsequent page loads remembered collapsed/expanded state is restored and only not touched items are processed as specified here"
"Collapse Currently Selected Item on Initial Page Load","Collapse Currently Selected Item on Initial Page Load"
"",""
