"Number of Products to Display","Number of Products to Display"
"Template","Template"
"Grid","Grid"
"List","List"
"List of Names","List of Names"
"List of Images","List of Images"
"List of Names and Images","List of Names and Images"
"Block Title","Block Title"
"Special Filters, Pages and Tags","Special Filters, Pages and Tags"
"Create","Create"
"Title","Title"
"Internal Name","Internal Name"
"SEO URL Key","SEO URL Key"
"Non existent special condition can not be customized on store level.","Non existent special condition can not be customized on store level."
"This special condition no longer exists.","This special condition no longer exists."
"This special condition no longer exists on global level.","This special condition no longer exists on global level."
"%s - Special Filter, Page or Tag","%s - Special Filter, Page or Tag"
"Are you sure you want to delete this special conditionAre you sure you want to delete this special condition??",""
"General","General"
"Condition","Condition"
"Layered Navigation","Layered Navigation"
"Add as an Option to Filter","Add as an Option to Filter"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
