"MANAdev Social Networking","MANAdev Social Networking"
"Social Networks","Social Networks"
"Links","Links"
"Appear in page header or footer, depending on your theme","Appear in page header or footer, depending on your theme"
"Facebook URL","Facebook URL"
"If empty, Facebook link will not show up","If empty, Facebook link will not show up"
"Facebook URL Title","Facebook URL Title"
"Facebook Position","Facebook Position"
"Twitter URL","Twitter URL"
"If empty, Twitter link will not show up","If empty, Twitter link will not show up"
"Twitter URL Title","Twitter URL Title"
"Twitter Position","Twitter Position"
"Facebook Like Box (MANAdev)","Facebook Like Box (MANAdev)"
"Enables users to see how many users already like this Page, and which of their friends like it too, read recent posts from the Page, like the Page with one click, without needing to visit the Page","Enables users to see how many users already like this Page, and which of their friends like it too, read recent posts from the Page, like the Page with one click, without needing to visit the Page"
"Facebook Page URL","Facebook Page URL"
"The URL of the Facebook Page for this Like box","The URL of the Facebook Page for this Like box"
"Width","Width"
"The width of the plugin in pixels","The width of the plugin in pixels"
"Height","Height"
"The height of the plugin in pixels","The height of the plugin in pixels"
"Show Faces","Show Faces"
"Show profile photos in the plugin","Show profile photos in the plugin"
"Show Stream","Show Stream"
"Show the profile stream for the public profile","Show the profile stream for the public profile"
"Show Header","Show Header"
"Show the 'Find us on Facebook' bar at top. Only shown when either stream or faces are present.","Show the 'Find us on Facebook' bar at top. Only shown when either stream or faces are present."
"Color Scheme","Color Scheme"
"The color scheme of the plugin. Note that the background is always transparent to match your background color. This setting changes the foreground colors to work well on light or dark backgrounds.","The color scheme of the plugin. Note that the background is always transparent to match your background color. This setting changes the foreground colors to work well on light or dark backgrounds."
"Border Color","Border Color"
"The border color of the plugin","The border color of the plugin"
"Light","Light"
"Dark","Dark"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
