"Newest","Newest"
"Bestsellers","Bestsellers"
"Most Viewed","Most Viewed"
"Biggest Saving","Biggest Saving"
"Top Rated","Top Rated"
"Review Count","Review Count"
"Quantity","Quantity"
"Now In Whishlist","Now In Whishlist"
"Product list sorting options","Product list sorting options"
"Sorting","Sorting"
"Out of stock","Out of stock"
"This sorting method puts latest created products higher.","This sorting method puts latest created products higher."
"This sorting method puts better sold products higher.","This sorting method puts better sold products higher."
"This sorting method puts most viewed products higher.","This sorting method puts most viewed products higher."
"This sorting method puts most discounted products higher.","This sorting method puts most discounted products higher."
"This sorting method puts wishlist products higher.","This sorting method puts wishlist products higher."
"This sorting method puts biggest quantity products higher.","This sorting method puts biggest quantity products higher."
"This sorting method puts most reviewed products higher.","This sorting method puts most reviewed products higher."
"This sorting method puts top rated products higher.","This sorting method puts top rated products higher."
"Move out of stock products to the end of the product list","Move out of stock products to the end of the product list"
"Is enabled","Is enabled"
"Position","Position"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
