"Performance","Performance"
"MANAdev Performance Settings","MANAdev Performance Settings"
"Product View","Product View"
"Enable HTML Caching","Enable HTML Caching"
"'Blocks HTML output' cache type should be enabled in System->Cache Management menu","'Blocks HTML output' cache type should be enabled in System->Cache Management menu"
"Expires After","Expires After"
"hours","hours"
"Template File Name","Template File Name"
"Can be different in your theme","Can be different in your theme"
"Catalog-Based Top Menu","Catalog-Based Top Menu"
"Products in Category Grid View","Products in Category Grid View"
"Products in Category List View","Products in Category List View"
"Minor modifications in your current theme may be needed","Minor modifications in your current theme may be needed"
"Catalog Layered Navigation","Catalog Layered Navigation"
"Cart Sidebar","Cart Sidebar"
