"MANAdev Guest Book Configuration","MANAdev Guest Book Configuration"
"Guest Book","Guest Book"
"General Settings","General Settings"
"Moderated","Moderated"
"If set, each guest post requires approval in order to be visible in frontend","If set, each guest post requires approval in order to be visible in frontend"
"Email Field","Email Field"
"Active","Active"
"Visible in Grid","Visible in Grid"
"Position","Position"
"Used to order fields in form and grid","Used to order fields in form and grid"
"Required","Required"
"Name Field","Name Field"
"Country Field","Country Field"
"Default Value","Default Value"
"Region Field","Region Field"
"Allow Any Text","Allow Any Text"
"If set, customer enters region as text; if not set, customer chooses the region from dropdown list","If set, customer enters region as text; if not set, customer chooses the region from dropdown list"
"If set, Country field should be either active or default value assigned","If set, Country field should be either active or default value assigned"
"Text Field","Text Field"
"Guest Posts","Guest Posts"
"Store","Store"
"Status","Status"
"Pending","Pending"
"Approved","Approved"
"Rejected","Rejected"
"What do you think of us? Please %s. It is important to us!","What do you think of us? Please %s. It is important to us!"
"share","share"
"* Required Fields","* Required Fields"
"Submit","Submit"
"Your post has been submitted. Thank you for your opinion.","Your post has been submitted. Thank you for your opinion."
"Your post has been submitted for moderation. Thank you for your opinion.","Your post has been submitted for moderation. Thank you for your opinion."
"Unable to submit your post. Please, try again later","Unable to submit your post. Please, try again later"
"Approve","Approve"
"Reject","Reject"
"Date","Date"
"URL Field","URL Field"
"URL","URL"
"Website","Website"
"Guest Post #%d","Guest Post #%d"
"New Guest Post","New Guest Post"
"General Information","General Information"
"Adds a column in MANAdev -> Guest Book table","Adds a column in MANAdev -> Guest Book table"
"Visible in frontend","Visible in frontend"
"Random Guest Post","Random Guest Post"
"Displays random guest post","Displays random guest post"
"Number of Posts","Number of Posts"
"Maximum Number of Characters","Maximum Number of Characters"
"Leave empty to show full text","Leave empty to show full text"
"Read more","Read more"
"Random Guest Post (MANAdev)","Random Guest Post (MANAdev)"
