"Bought Together","Bought Together"
"Frequently Bought Together","Frequently Bought Together"
"Active","Active"
"Title","Title"
"Header visible in store frontend","Header visible in store frontend"
"Exclude Products Already In Cart","Exclude Products Already In Cart"
"Maximum Number of Products","Maximum Number of Products"
"Leave 0, 1 or empty for no limits","Leave 0, 1 or empty for no limits"
"Image Size","Image Size"
"Allow Ordering More Than One","Allow Ordering More Than One"
"If not set, quantity editing box is hidden and default quantity (1) is used.","If not set, quantity editing box is hidden and default quantity (1) is used."
"Price for All","Price for All"
"Price For Both","Price For Both"
"Price For All Three","Price For All Three"
"Price For All Four","Price For All Four"
"Price For All Five","Price For All Five"
"Price For All Six","Price For All Six"
"Price For All Seven","Price For All Seven"
"Price For All Eight","Price For All Eight"
"Price For All Nine","Price For All Nine"
"Price For All Ten","Price For All Ten"
"Add all to Cart","Add all to Cart"
"Add both to Cart","Add both to Cart"
"Add all three to Cart","Add all three to Cart"
"Add all four to Cart","Add all four to Cart"
"Add all five to Cart","Add all five to Cart"
"Add all six to Cart","Add all six to Cart"
"Add all seven to Cart","Add all seven to Cart"
"Add all eight to Cart","Add all eight to Cart"
"Add all nine to Cart","Add all nine to Cart"
"Add all ten to Cart","Add all ten to Cart"
"Add all to Wishlist","Add all to Wishlist"
"Add both to Wishlist","Add both to Wishlist"
"Add all three to Wishlist","Add all three to Wishlist"
"Add all four to Wishlist","Add all four to Wishlist"
"Add all five to Wishlist","Add all five to Wishlist"
"Add all six to Wishlist","Add all six to Wishlist"
"Add all seven to Wishlist","Add all seven to Wishlist"
"Add all eight to Wishlist","Add all eight to Wishlist"
"Add all nine to Wishlist","Add all nine to Wishlist"
"Add all ten to Wishlist","Add all ten to Wishlist"
"Add all to Compare","Add all to Compare"
"Add both to Compare","Add both to Compare"
"Add all three to Compare","Add all three to Compare"
"Add all four to Compare","Add all four to Compare"
"Add all five to Compare","Add all five to Compare"
"Add all six to Compare","Add all six to Compare"
"Add all seven to Compare","Add all seven to Compare"
"Add all eight to Compare","Add all eight to Compare"
"Add all nine to Compare","Add all nine to Compare"
"Add all ten to Compare","Add all ten to Compare"
"Cannot add %s to shopping cart.","Cannot add %s to shopping cart."
