"Videos","Videos"
"MANAdev Video Settings","MANAdev Video Settings"
"Video","Video"
"Video Service","Video Service"
"Video ID","Video ID"
"Position","Position"
"Base","Base"
"Excluded","Excluded"
"-- Please select --","-- Please select --"
"Selected","Selected"
"Same For All Stores","Same For All Stores"
"Add","Add"
"Remove Selected","Remove Selected"
"On Product Page","On Product Page"
"Display Settings","Display Settings"
"Show Images and Videos as One List","Show Images and Videos as One List"
"Show Images and Videos in Tabs","Show Images and Videos in Tabs"
"vimeo.com Settings","vimeo.com Settings"
"Show Title","Show Title"
"Show Byline","Show Byline"
"Show User's Portrait","Show User's Portrait"
"Color of Video Controls","Color of Video Controls"
"Play the Video Automatically on Load","Play the Video Automatically on Load"
"Play the Video Again When it Reaches the End","Play the Video Again When it Reaches the End"
"Allow Fullscreen Mode","Allow Fullscreen Mode"
"Videos","Videos"
"Images","Images"
"AJAX Settings","AJAX Settings"
"Show 'Please Wait'","Show 'Please Wait'"
"Show network errors in frontend","Show network errors in frontend"
"Large Video/Image Width","Large Video/Image Width"
"Popup Settings","Popup Settings"
"Large Video/Image Height","Large Video/Image Height"
"Thumbnail Video/Image Width","Thumbnail Video/Image Width"
"Thumbnail Video/Image Height","Thumbnail Video/Image Height"
"Label","Label"
"Thumbnail","Thumbnail"
"Image and Video Gallery","Image and Video Gallery"
"Video Services","Video Services"
"Default Service","Default Service"
