"MANAdev Uffizi Theme","MANAdev Uffizi Theme"
"Uffizi Theme","Uffizi Theme"
"Layered Navigation","Layered Navigation"
"CSS Class","CSS Class"
"Home","Home"
"Two Column List Only","Two Column List Only"
"Grid (default) / Two Column List","Grid (default) / Two Column List"
"List (default) / Two Column List","List (default) / Two Column List"
"Two Column List (default) / Grid","Two Column List (default) / Grid"
"Two Column List (default) / List","Two Column List (default) / List"
"Grid (default) / List / Two Column List","Grid (default) / List / Two Column List"
"Grid (default) / Two Column List / List","Grid (default) / Two Column List / List"
"List (default) / Grid / Two Column List","List (default) / Grid / Two Column List"
"List (default) / Two Column List / Grid","List (default) / Two Column List / Grid"
"Two Column List (default) / Grid / List","Two Column List (default) / Grid / List"
"Two Column List (default) / List / Grid","Two Column List (default) / List / Grid"
"'Two Column List' is only available in MANAdev themes","'Two Column List' is only available in MANAdev themes"
"Two Column List","Two Column List"
"CSS Styles","CSS Styles"
"Change appearance of various blocks by entering one of predefined style names or even your own. This theme supports 'm-transparent', 'm-pink', 'm-lightgrey' and 'm-darkgrey'.","Change appearance of various blocks by entering one of predefined style names or even your own. This theme supports 'm-transparent', 'm-pink', 'm-lightgrey' and 'm-darkgrey'."
"Show in Grid","Show in Grid"
"Customize product grid appearance","Customize product grid appearance"
"Show in List","Show in List"
"Customize product list appearance","Customize product list appearance"
"Show in 2 Column List","Show in 2 Column List"
"Customize product 2 column list appearance","Customize product 2 column list appearance"
"Show in New Grid","Show in New Grid"
"Customize new product grid appearance","Customize new product grid appearance"
"Show in New List","Show in New List"
"Customize new product list appearance","Customize new product list appearance"
"Name","Name"
"Price","Price"
"Rating","Rating"
"Short Description","Short Description"
"'Learn More' Link","'Learn More' Link"
"'Add to Wishlist' Link","'Add to Wishlist' Link"
"'Add to Compare' Link","'Add to Compare' Link"
"'Add to Cart' Button","'Add to Cart' Button"
"'Out of stock' Notice","'Out of stock' Notice"
"Show in Recently Compared Grid","Show in Recently Compared Grid"
"Customize recently compared product grid appearance","Customize recently compared product grid appearance"
"Show in Recently Compared List","Show in Recently Compared List"
"Customize recently compared product list appearance","Customize recently compared product list appearance"
"Show in Recently Viewed Grid","Show in Recently Viewed Grid"
"Customize recently viewed product grid appearance","Customize recently viewed product grid appearance"
"Show in Recently Viewed List","Show in Recently Viewed List"
"Customize recently <viewed></viewed> product list appearance","Customize recently <viewed></viewed> product list appearance"
"Image Aspect Ratio","Image Aspect Ratio"
"Enter two numbers (width and height) separated by colon like 3:4, 1:1, etc. In this theme image width is preset, but height will be adjusted according to this setting","Enter two numbers (width and height) separated by colon like 3:4, 1:1, etc. In this theme image width is preset, but height will be adjusted according to this setting"
