"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Total","TOTAL PURCHASE"
"My Wishlist","My Wish List"
"My Wishlist (%d item)","Wish List (%d item)"
"My Wishlist (%d items)","Wish List (%d items)"
"My Wishlist <small>(%d)</small>","Wish List <small>(%d)</small>"
"My Wishlist Link","Wish List Link"
"My Cart","Shopping Cart"
"My Cart (%s item)","Shopping Cart (%s item)"
"My Cart (%s items)","Shopping Cart (%s items)"
"My Cart Link","Shopping Cart Link"
"Shop By","Narrow your results"
"You may also be interested in the following product(s)","Related Products"
"ORDER NOW for Free FedEx® Delivery within %s business days","ORDER NOW for Free FedEx® Delivery within %s business days"
"Items in Your Shopping Cart","Your Cart Summary"
"There is <a href=""%s"">1 item</a> in your cart.","<a href=""%s"">1 item</a> in cart."
"You have no items in your shopping cart.","No items in your cart."
"New Products","New Arrivals"
"Recently Compared Products", "Recently Compared"
"Recently Viewed Products", "Recently Viewed"
"Special Price:","Now Just:"
"Sale","Sale"
"Out of stock","Sold Out"
"more details","More Details"
"Learn More","More Details"
"Add to Cart","Buy Now"
"Add to Wishlist","Add to Wishlist"
"Wishlist","wishlist"
"In Wishlist","in wishlist"
"Add to Compare","Add to Compare"
"Compare","compare"
"In Compare","in compare"
"Product Code","Product Code"
"Email Address","Email Address/User ID"
"Availability:",""
"Sort By","Sort by"
"Qty:","Quantity:"
"Choose an Option...","Select one..."
"Please, enter your comments...","your comment about the product"
"Search entire store here...","search keywords"
"Popular Search Terms","Hot Search:"
"Sign Up for Our Newsletter:","Subscribe to thejewelstore.com Weekly  Newsletter!!!"
"Subscribe footer","thejewelstore.com is committed to protecting your id."
"Subscribe","Signup"
"Select Your Currency","Choose your currency"
"Exclusive","Exclusive"
